Overall Qual,Gr Liv Area,Garage Cars,Garage Area,Total Bsmt SF,1st Flr SF,Year Built,Full Bath,Year Remod/Add,TotRms AbvGrd,Lot Area,Neighborhood,House Style,Exterior 1st,SalePrice
6,1092,1.0,264.0,525.0,525,1971,1,1971,6,1680,BrDale,2Story,HdBoard,88000
6,1069,2.0,440.0,1069.0,1069,1977,2,1977,4,4043,NPkVill,1Story,Plywood,127500
6,1456,2.0,440.0,855.0,855,1975,2,1975,6,2280,NPkVill,2Story,Plywood,149900
7,836,1.0,308.0,836.0,836,1975,1,1975,4,2280,NPkVill,1Story,Plywood,120000
6,1456,2.0,440.0,855.0,855,1978,2,1978,7,2280,NPkVill,2Story,Plywood,146000
9,2334,3.0,751.0,1590.0,1627,2009,2,2010,10,12858,NridgHt,2Story,VinylSd,376162
8,1704,3.0,772.0,1704.0,1704,2007,2,2008,7,11478,NridgHt,1Story,VinylSd,306000
9,1940,3.0,606.0,1930.0,1940,2009,2,2010,8,10159,NridgHt,1Story,VinylSd,395192
8,1544,3.0,868.0,1544.0,1544,2009,2,2010,7,12883,NridgHt,1Story,VinylSd,290941
7,1541,2.0,532.0,1541.0,1541,2005,2,2005,7,12182,NridgHt,1Story,VinylSd,220000
9,1698,3.0,730.0,1698.0,1698,2005,2,2005,7,11520,NridgHt,1Story,VinylSd,275000
8,1822,3.0,678.0,1822.0,1822,2005,2,2006,8,14122,NridgHt,1Story,CemntBd,259000
7,1535,2.0,532.0,1517.0,1535,2004,2,2004,7,10171,NridgHt,1Story,VinylSd,214000
9,2364,3.0,820.0,2330.0,2364,2009,2,2010,11,12919,NridgHt,1Story,VinylSd,611657
7,1358,2.0,484.0,1358.0,1358,2009,2,2010,6,6371,NridgHt,1Story,VinylSd,224000
9,2696,3.0,958.0,2846.0,2696,2003,2,2004,10,14300,NridgHt,1Story,VinylSd,500000
8,2250,3.0,756.0,1671.0,1687,2002,2,2002,7,13650,NridgHt,2Story,VinylSd,320000
9,1752,2.0,576.0,1752.0,1752,2005,2,2005,6,7658,NridgHt,1Story,MetalSd,319900
8,1370,2.0,484.0,1370.0,1370,2006,2,2006,6,7132,NridgHt,1Story,VinylSd,205000
7,1626,2.0,474.0,764.0,764,2003,2,2003,6,2628,NridgHt,2Story,VinylSd,175500
6,1324,2.0,430.0,1324.0,1324,2005,2,2005,6,18494,Gilbert,1Story,VinylSd,199500
7,1145,2.0,437.0,1145.0,1145,2006,2,2006,6,3203,Blmngtn,1Story,VinylSd,160000
8,1269,2.0,430.0,1256.0,1269,2004,2,2005,6,3182,Blmngtn,1Story,VinylSd,192000
7,1374,2.0,400.0,384.0,744,2004,2,2004,7,13300,Gilbert,SLvl,VinylSd,184500
6,1960,2.0,440.0,860.0,860,2002,2,2002,8,7851,Gilbert,2Story,VinylSd,216500
7,1733,2.0,433.0,847.0,847,2004,2,2004,7,8577,Gilbert,2Story,VinylSd,185088
7,1430,2.0,400.0,384.0,774,2000,2,2000,7,7750,Gilbert,SLvl,VinylSd,180000
7,2035,2.0,434.0,884.0,884,2001,2,2001,8,9505,Gilbert,2Story,VinylSd,222500
9,2599,3.0,779.0,1393.0,1422,1999,2,1999,10,14774,NoRidge,2Story,VinylSd,333168
8,2475,3.0,962.0,1629.0,1645,1998,2,1998,7,17433,NoRidge,2Story,VinylSd,355000
7,1720,2.0,527.0,1720.0,1720,1996,2,1996,7,10593,NoRidge,1Story,VinylSd,260400
8,2622,2.0,712.0,1463.0,1500,1994,2,1995,9,12256,NoRidge,2Story,HdBoard,325000
8,2270,3.0,671.0,1152.0,1164,1999,2,2007,9,11764,NoRidge,2Story,VinylSd,290000
7,1839,2.0,486.0,1195.0,1195,1998,2,1998,7,16770,NoRidge,2Story,VinylSd,221000
8,3238,3.0,666.0,2033.0,2053,1995,2,1996,9,14720,NoRidge,1.5Fin,VinylSd,410000
8,1595,3.0,880.0,1595.0,1595,2005,2,2006,6,8987,Somerst,1Story,VinylSd,221500
7,1218,2.0,676.0,1218.0,1218,2009,2,2010,4,9215,Somerst,1Story,VinylSd,204500
7,1547,2.0,614.0,756.0,764,2009,2,2009,7,8640,Somerst,2Story,VinylSd,215200
8,1566,2.0,750.0,1566.0,1566,2008,2,2008,7,9000,Somerst,1Story,VinylSd,262500
7,1947,2.0,678.0,991.0,991,2004,2,2005,8,12552,Somerst,2Story,VinylSd,254900
6,1468,2.0,528.0,1468.0,1468,2005,2,2005,6,10440,Somerst,1Story,VinylSd,271500
7,2084,2.0,618.0,956.0,956,2004,2,2004,8,10142,SawyerW,2Story,VinylSd,233000
7,1659,2.0,484.0,831.0,831,2004,2,2004,8,11920,SawyerW,2Story,VinylSd,181000
7,2110,2.0,463.0,948.0,1222,1994,2,2002,8,8880,SawyerW,2Story,VinylSd,205000
6,923,1.0,264.0,923.0,923,1980,2,1980,5,8012,SawyerW,1Story,Plywood,143000
6,1845,2.0,462.0,1055.0,1055,1992,2,1992,8,11218,SawyerW,2Story,Wd Sdng,189000
6,918,1.0,264.0,918.0,918,1979,2,1979,5,7892,SawyerW,1Story,Plywood,99500
6,752,1.0,264.0,744.0,752,1984,1,1984,4,7175,SawyerW,1Story,Plywood,125000
7,1744,2.0,457.0,996.0,1014,1993,2,2003,7,9453,SawyerW,2Story,HdBoard,194500
6,1097,2.0,480.0,1040.0,1097,1984,2,1985,6,9672,SawyerW,1Story,HdBoard,152000
6,1564,2.0,476.0,650.0,888,1980,2,1981,7,8400,SawyerW,2Story,HdBoard,171000
5,1012,1.0,429.0,816.0,1012,1920,1,1950,5,9800,SawyerW,1Story,Wd Sdng,67500
6,1902,2.0,539.0,0.0,1318,1978,2,1978,8,8930,Sawyer,1.5Fin,VinylSd,112000
5,1155,2.0,576.0,1109.0,1155,1961,1,1995,6,11782,Sawyer,SFoyer,HdBoard,148000
5,894,1.0,336.0,894.0,894,1965,1,2009,5,8450,Sawyer,1Story,MetalSd,138500
5,900,1.0,280.0,882.0,900,1967,1,1967,5,9819,Sawyer,1Story,MetalSd,122000
5,1040,1.0,308.0,1040.0,1040,1963,1,1963,5,7500,Sawyer,1Story,HdBoard,133000
5,1040,1.0,260.0,1040.0,1040,1962,1,2010,6,6897,Sawyer,1Story,HdBoard,127000
6,1494,2.0,461.0,1208.0,1494,1974,2,2002,7,15410,Sawyer,1Story,Plywood,169000
7,1923,2.0,564.0,750.0,1061,1992,2,1992,8,10186,NoRidge,2Story,HdBoard,190000
8,2349,3.0,762.0,1231.0,1251,1993,2,1993,9,13143,NoRidge,2Story,HdBoard,362500
8,2225,3.0,713.0,1390.0,1402,1992,2,1993,7,11134,NoRidge,2Story,HdBoard,285000
7,1488,2.0,506.0,1488.0,1488,2004,2,2005,6,4835,Somerst,1Story,MetalSd,260000
7,1680,2.0,588.0,840.0,840,2004,2,2004,3,3515,Somerst,2Story,VinylSd,190000
7,1200,2.0,480.0,600.0,600,2004,2,2004,4,3215,Somerst,2Story,MetalSd,155000
7,1200,2.0,480.0,600.0,600,2004,2,2005,4,3182,Somerst,2Story,MetalSd,151000
7,1200,2.0,480.0,600.0,600,2004,2,2005,4,2544,Somerst,2Story,MetalSd,149500
6,1236,2.0,480.0,600.0,600,2005,2,2005,4,2544,Somerst,2Story,VinylSd,152000
7,1478,2.0,484.0,1470.0,1478,2009,2,2009,7,4403,Somerst,1Story,MetalSd,222000
6,1573,2.0,440.0,756.0,769,2000,2,2000,5,2117,Somerst,2Story,MetalSd,177500
6,1512,2.0,440.0,756.0,756,2000,2,2000,5,2980,Somerst,2Story,MetalSd,177000
7,1416,2.0,484.0,696.0,696,1999,2,1999,6,2572,Somerst,2Story,MetalSd,155000
7,1080,2.0,496.0,530.0,530,2003,2,2003,4,2403,Somerst,2Story,VinylSd,147110
8,1418,3.0,852.0,1642.0,1418,2010,1,2010,6,12853,Somerst,1Story,CemntBd,267916
8,1848,2.0,592.0,975.0,975,2000,2,2000,7,7379,Somerst,2Story,VinylSd,254000
8,788,2.0,484.0,728.0,788,1980,1,1980,3,4420,Greens,1Story,Wd Sdng,155000
8,1226,2.0,484.0,1226.0,1226,1978,1,1978,4,3880,Greens,1Story,Wd Sdng,206000
6,1479,2.0,475.0,725.0,725,1976,2,2005,6,13517,Sawyer,2Story,HdBoard,130500
7,1492,2.0,596.0,1492.0,1492,2002,2,2002,6,8000,Somerst,1Story,VinylSd,230000
6,1829,2.0,535.0,1829.0,1829,1967,2,1967,8,10456,NWAmes,1Story,HdBoard,218500
6,2495,2.0,660.0,1280.0,1280,1993,2,1993,9,10791,NWAmes,2Story,MetalSd,243500
6,1610,2.0,480.0,1610.0,1610,1977,2,2001,6,10603,NWAmes,1Story,Plywood,205000
6,1891,2.0,678.0,1224.0,1287,1978,3,1978,7,18837,NWAmes,1.5Fin,MetalSd,212500
7,1714,2.0,496.0,980.0,980,1988,2,1988,7,10421,NWAmes,2Story,HdBoard,196500
6,1381,2.0,676.0,1161.0,1381,1972,1,2006,5,9360,NWAmes,1Story,Plywood,197500
6,1645,2.0,441.0,715.0,930,1971,1,1971,7,9600,NWAmes,2Story,MetalSd,171000
5,1232,2.0,490.0,1232.0,1232,1966,1,1966,6,9600,NAmes,1Story,VinylSd,142250
6,1328,2.0,528.0,1328.0,1328,1963,1,1963,6,9790,NWAmes,1Story,HdBoard,143000
4,1225,0.0,0.0,950.0,1225,1959,1,1959,6,9320,NAmes,1Story,Plywood,128950
5,1209,2.0,504.0,1209.0,1209,1966,1,1966,6,9900,NAmes,1Story,HdBoard,159000
5,1510,2.0,517.0,1510.0,1510,1967,2,1967,6,9680,NAmes,1Story,Wd Sdng,178900
6,1775,2.0,480.0,533.0,1131,1964,2,1964,8,10600,NAmes,SLvl,HdBoard,136300
5,1152,2.0,484.0,1152.0,1152,1964,1,1964,6,14112,NAmes,SLvl,Wd Sdng,180500
6,1054,2.0,480.0,936.0,1054,1963,1,1963,6,8800,NAmes,SFoyer,MetalSd,137500
5,1728,0.0,0.0,1728.0,1728,1962,2,2001,10,13260,NAmes,1Story,HdBoard,84900
5,1078,1.0,240.0,1078.0,1078,1950,1,1996,5,9717,NAmes,1Story,MetalSd,142125
5,2461,2.0,400.0,1140.0,1929,1952,2,2002,7,9724,NAmes,1.5Fin,MetalSd,197600
6,1556,2.0,470.0,782.0,1019,1949,2,1950,6,17360,NAmes,1.5Fin,MetalSd,172500
5,858,0.0,0.0,858.0,858,1958,1,2008,4,7207,BrkSide,1Story,Wd Sdng,116500
3,1306,0.0,0.0,728.0,1306,1940,1,1966,6,5350,BrkSide,1Story,Wd Sdng,76500
5,1063,1.0,280.0,1056.0,1063,1954,1,1954,6,9920,NAmes,1Story,HdBoard,128000
6,1520,1.0,364.0,1156.0,1520,1955,1,1972,7,9600,NAmes,SLvl,AsbShng,153000
5,1268,1.0,244.0,1268.0,1268,1954,1,1954,7,7800,NAmes,1Story,HdBoard,132000
6,1128,1.0,315.0,1080.0,1128,1966,1,2008,5,11380,NAmes,SFoyer,HdBoard,178000
5,2274,2.0,480.0,1105.0,1105,1960,2,1960,12,11600,NAmes,2Story,MetalSd,154300
7,2207,2.0,576.0,1947.0,2207,1970,2,1989,7,19900,NAmes,1Story,Plywood,180000
6,1888,2.0,578.0,1517.0,1888,1966,2,2002,6,16492,NAmes,1Story,BrkFace,190000
5,1604,2.0,576.0,1604.0,1604,1958,2,1958,8,8267,NAmes,1Story,HdBoard,135000
7,1480,2.0,620.0,1480.0,1480,2003,2,2009,7,8197,NAmes,1Story,VinylSd,214000
5,1143,1.0,308.0,1143.0,1143,1959,1,1959,6,8050,NAmes,1Story,MetalSd,136000
5,1700,2.0,447.0,1398.0,1700,1959,1,1959,6,10552,NAmes,1Story,BrkFace,165500
5,1314,1.0,294.0,1314.0,1314,1957,1,1957,5,8400,NAmes,1Story,MetalSd,145000
6,1194,1.0,312.0,1194.0,1194,1959,1,1959,6,8760,NAmes,1Story,MetalSd,148000
5,1188,2.0,531.0,1188.0,1188,1959,1,1959,6,12160,NAmes,1Story,Plywood,142000
5,1264,2.0,461.0,1268.0,1264,1960,1,1960,6,9300,NAmes,1Story,MetalSd,167500
5,1206,1.0,312.0,1206.0,1206,1959,1,1959,6,10725,NAmes,1Story,MetalSd,108538
6,1580,2.0,440.0,1244.0,1580,1959,1,1959,6,10032,NAmes,1Story,Wd Sdng,159500
4,1337,1.0,263.0,832.0,832,1956,1,1956,5,8382,NAmes,1.5Fin,MetalSd,108000
5,1064,1.0,318.0,864.0,1064,1952,1,1952,4,10950,NAmes,1Story,WdShing,135000
5,972,1.0,305.0,972.0,972,1955,1,1955,5,10895,NAmes,1Story,MetalSd,122500
5,988,1.0,264.0,988.0,988,1958,1,1958,5,13587,NAmes,1Story,MetalSd,119000
5,1057,1.0,246.0,1057.0,1057,1953,1,2007,5,7922,NAmes,1Story,VinylSd,109000
4,985,2.0,676.0,576.0,985,1920,1,1994,4,7898,NAmes,1Story,MetalSd,105000
5,827,1.0,392.0,0.0,827,1955,1,2007,5,7200,NAmes,1Story,VinylSd,107500
5,1086,2.0,490.0,1086.0,1086,1954,1,2003,6,10200,NAmes,1Story,Wd Sdng,144900
5,936,1.0,308.0,936.0,936,1956,1,2000,4,5868,NAmes,1Story,MetalSd,129000
6,1458,1.0,330.0,912.0,912,1948,1,1950,6,17503,NAmes,1.5Fin,VinylSd,97500
6,1056,2.0,576.0,1056.0,1056,1980,0,1980,4,6979,OldTown,SFoyer,Plywood,144000
5,1287,2.0,576.0,1063.0,1287,1959,1,2006,7,9830,NAmes,1Story,Wd Sdng,162000
7,2978,2.0,564.0,710.0,1898,1967,2,2007,11,11275,NAmes,SLvl,Wd Sdng,242000
6,1224,1.0,280.0,816.0,816,1948,1,2004,5,8064,NAmes,1.5Fin,WdShing,132000
5,1246,1.0,305.0,1246.0,1246,1959,1,1994,6,7500,NAmes,1Story,BrkFace,154000
5,1385,2.0,720.0,910.0,910,1952,2,1952,6,8520,NAmes,1.5Fin,BrkFace,166000
5,900,2.0,576.0,900.0,900,1951,1,2000,5,7200,NAmes,1Story,Wd Sdng,134800
6,1116,2.0,440.0,1116.0,1116,1962,1,1962,5,10000,NAmes,1Story,Wd Sdng,160000
5,1175,2.0,484.0,1175.0,1175,1960,1,1960,6,7635,NAmes,1Story,BrkFace,148000
6,1395,2.0,440.0,1395.0,1395,1963,1,1984,7,9760,NAmes,1Story,Wd Sdng,192000
6,1839,2.0,442.0,756.0,1051,1966,1,1966,7,7700,NAmes,2Story,MetalSd,155000
4,1844,1.0,240.0,709.0,1157,1900,1,1954,9,4800,OldTown,1.5Fin,Wd Sdng,80400
4,1140,0.0,0.0,576.0,792,1910,1,2004,7,8800,OldTown,1.5Fin,Wd Sdng,96500
5,936,0.0,0.0,936.0,936,1920,1,1950,5,4485,OldTown,1Story,Wd Sdng,109500
5,1028,2.0,360.0,1008.0,1028,1927,1,1950,5,8960,OldTown,1Story,WdShing,115000
5,1347,2.0,551.0,1347.0,1347,1957,1,1957,6,5805,OldTown,1Story,MetalSd,143000
3,1605,1.0,379.0,840.0,840,1915,2,1950,8,5790,OldTown,2Story,VinylSd,107400
4,747,1.0,220.0,747.0,747,1945,1,1950,4,4608,OldTown,1Story,MetalSd,80000
5,804,1.0,240.0,788.0,804,1940,1,1992,4,7200,OldTown,1Story,MetalSd,119000
5,1316,2.0,484.0,926.0,926,1929,1,2001,6,5500,OldTown,1.5Fin,Wd Sdng,130000
6,1251,1.0,240.0,827.0,827,1938,1,2000,6,6900,OldTown,1.5Fin,MetalSd,119000
5,1633,1.0,240.0,1027.0,1027,1948,1,2009,7,11851,OldTown,1.5Fin,VinylSd,129000
5,1245,1.0,315.0,1008.0,1060,1920,1,1962,6,8239,OldTown,1.5Fin,MetalSd,100000
2,832,2.0,780.0,678.0,832,1923,1,1970,5,9656,OldTown,1Story,AsbShng,12789
6,720,2.0,484.0,624.0,720,1928,1,2003,5,8520,OldTown,1Story,VinylSd,105900
8,1566,1.0,288.0,930.0,930,1900,2,2003,7,9600,OldTown,2Story,Wd Sdng,150000
5,1652,1.0,416.0,686.0,966,1915,2,1950,7,10800,OldTown,1.5Fin,MetalSd,139000
8,2268,2.0,624.0,346.0,1157,1890,3,2002,7,9000,OldTown,2Story,Wd Sdng,240000
5,2256,0.0,0.0,840.0,1128,1910,2,1950,12,9045,OldTown,2Story,MetalSd,76500
6,1236,2.0,923.0,912.0,1236,1957,1,1996,6,7407,OldTown,1Story,MetalSd,149700
4,1363,2.0,528.0,622.0,741,1910,1,1950,6,7740,OldTown,2Story,VinylSd,125500
4,2290,2.0,560.0,777.0,1246,1885,2,1950,11,11340,OldTown,2Story,VinylSd,122500
6,1470,2.0,624.0,738.0,868,1922,1,1994,6,10560,OldTown,2Story,Wd Sdng,140750
5,1612,1.0,363.0,988.0,1030,1950,1,1997,7,5830,BrkSide,1.5Fin,MetalSd,128500
7,2068,1.0,315.0,1108.0,1160,1922,1,2005,8,7793,BrkSide,2.5Unf,Wd Sdng,209500
4,765,1.0,200.0,765.0,765,1925,1,1950,4,5000,BrkSide,1Story,MetalSd,87000
6,1132,1.0,240.0,608.0,608,1939,1,1950,5,6000,BrkSide,1.5Fin,MetalSd,134000
6,1196,2.0,576.0,572.0,848,1940,1,1950,6,6000,BrkSide,1.5Fin,MetalSd,128000
5,1453,1.0,240.0,835.0,955,1942,1,1950,7,6360,BrkSide,1.5Fin,MetalSd,132000
6,1416,1.0,312.0,780.0,780,1948,1,1950,6,6000,BrkSide,1.5Fin,Wd Sdng,139900
5,1040,2.0,624.0,528.0,548,1936,1,1980,5,6240,BrkSide,1.5Fin,VinylSd,123900
5,1536,2.0,480.0,928.0,928,1930,2,1950,7,6240,BrkSide,1.5Fin,MetalSd,138400
6,1068,1.0,288.0,1124.0,1068,1923,1,1950,5,6120,OldTown,1Story,Wd Sdng,109500
7,1710,2.0,480.0,576.0,902,1921,2,1950,9,10300,OldTown,2Story,Stucco,140000
4,1962,2.0,572.0,888.0,888,1915,1,1950,9,8094,OldTown,1.5Fin,MetalSd,149500
6,1560,0.0,0.0,780.0,780,1912,1,2009,7,12900,OldTown,2Story,Wd Sdng,159900
6,1324,1.0,180.0,662.0,662,1920,1,1993,6,3068,OldTown,2Story,VinylSd,122000
5,816,2.0,516.0,816.0,816,1963,1,1963,5,8472,IDOTRR,1Story,Wd Sdng,110000
4,1092,0.0,0.0,0.0,372,1930,2,1950,7,5600,IDOTRR,2Story,VinylSd,55000
5,1812,2.0,672.0,360.0,1032,1900,2,1996,8,7630,OldTown,2Story,Wd Sdng,140000
7,2403,1.0,349.0,1032.0,1207,1940,2,1950,10,24090,ClearCr,2Story,MetalSd,244400
5,1675,1.0,365.0,1422.0,1675,1959,2,1959,8,15263,ClearCr,1Story,HdBoard,173000
5,1224,1.0,180.0,689.0,725,1917,1,1950,6,10632,ClearCr,1.5Fin,Wd Sdng,107500
5,1392,0.0,0.0,1212.0,1212,1915,1,1950,6,9900,SWISU,1.5Fin,Wd Sdng,100000
6,919,1.0,231.0,600.0,600,1940,1,1950,5,6001,SWISU,1.5Fin,VinylSd,95000
4,1884,0.0,0.0,707.0,942,1907,1,1950,7,6449,SWISU,2Story,Wd Sdng,93369
5,1680,2.0,450.0,856.0,936,1910,2,1950,7,6048,SWISU,1.5Fin,Wd Sdng,114900
5,1020,0.0,0.0,780.0,780,1875,1,1996,6,6342,Sawyer,1.5Fin,VinylSd,94000
4,1832,0.0,0.0,1832.0,1832,1967,2,1967,8,10773,Sawyer,1Story,Plywood,136000
4,1768,0.0,0.0,1768.0,1768,1968,2,1968,8,10778,Sawyer,1Story,HdBoard,136500
5,1039,2.0,504.0,1039.0,1039,1965,1,1965,6,11625,Sawyer,1Story,Plywood,131500
5,1392,2.0,528.0,1392.0,1392,1957,1,1996,5,11341,Sawyer,1Story,Wd Sdng,121500
5,912,1.0,336.0,912.0,912,1967,1,1967,5,8521,Sawyer,1Story,HdBoard,125000
5,1060,1.0,270.0,1060.0,1060,1968,1,2001,6,8246,Sawyer,1Story,Plywood,154000
5,892,1.0,416.0,864.0,892,1966,1,2008,5,7800,Sawyer,1Story,HdBoard,137900
6,1352,1.0,299.0,663.0,663,1969,1,1969,7,9364,Sawyer,2Story,HdBoard,158000
5,864,1.0,280.0,864.0,864,1968,1,1968,4,7832,Sawyer,1Story,HdBoard,137250
5,1373,2.0,591.0,1319.0,1373,1978,1,1978,5,7424,Sawyer,SFoyer,Plywood,160250
5,1440,2.0,480.0,720.0,720,1968,1,1968,7,11227,Sawyer,2Story,HdBoard,163000
6,1386,2.0,440.0,672.0,672,1978,2,1978,6,11616,Sawyer,2Story,HdBoard,158900
7,2260,2.0,533.0,1306.0,1306,1996,2,1997,7,14000,ClearCr,2Story,Wd Sdng,328000
7,1483,2.0,690.0,1420.0,1483,1977,1,2001,4,20062,ClearCr,1Story,Wd Sdng,270000
4,756,2.0,440.0,660.0,756,1927,1,1950,4,9259,Sawyer,1Story,Wd Sdng,85000
4,1067,2.0,436.0,1067.0,1067,1950,2,1995,4,9600,Sawyer,1Story,VinylSd,128000
7,1524,2.0,586.0,1332.0,1332,1979,0,1979,4,23595,ClearCr,1Story,Plywood,260000
6,1981,2.0,522.0,1117.0,1117,1978,2,1992,8,17082,ClearCr,2Story,VinylSd,230000
3,1610,1.0,480.0,972.0,1052,1938,2,1990,8,18600,Edwards,1.5Fin,Wd Sdng,124000
5,835,1.0,366.0,458.0,835,1920,1,1950,5,10625,Edwards,1Story,Wd Sdng,83000
6,1074,1.0,467.0,663.0,1074,1950,1,1987,6,11479,Edwards,1Story,Wd Sdng,144500
5,1144,1.0,596.0,1144.0,1144,1956,1,1956,6,9571,Edwards,1Story,Wd Sdng,129000
4,1531,1.0,209.0,756.0,1169,1947,1,1979,8,9350,Edwards,1.5Fin,WdShing,127000
5,1172,1.0,366.0,1172.0,1172,1954,1,1998,5,9525,Edwards,1Story,WdShing,128000
6,1212,2.0,460.0,1212.0,1212,2009,2,2009,6,10420,Edwards,1Story,VinylSd,186000
7,1508,2.0,572.0,1508.0,1508,2009,1,2010,5,17485,Edwards,1Story,VinylSd,308030
5,1298,2.0,504.0,1250.0,1298,1964,2,1964,5,11200,Edwards,1Story,Wd Sdng,114000
4,930,1.0,308.0,0.0,930,1946,1,2006,6,11100,Edwards,1Story,MetalSd,84900
6,1732,2.0,476.0,741.0,977,1985,2,1985,7,9206,SawyerW,2Story,HdBoard,178000
7,1433,2.0,528.0,1433.0,1433,1987,1,1987,4,11980,SawyerW,1Story,Plywood,270000
6,1802,4.0,1017.0,946.0,964,1993,2,1993,8,12361,SawyerW,2Story,VinylSd,218000
7,1949,2.0,574.0,1050.0,1062,1993,2,1994,8,9938,SawyerW,2Story,MetalSd,236000
6,996,2.0,564.0,936.0,996,1992,1,1992,5,9069,SawyerW,SFoyer,HdBoard,147000
8,1694,3.0,776.0,1694.0,1694,2008,2,2008,7,10475,CollgCr,1Story,VinylSd,245350
7,1208,2.0,632.0,1187.0,1208,2006,2,2006,6,6762,CollgCr,1Story,VinylSd,206000
7,1226,3.0,740.0,1226.0,1226,2009,2,2009,6,10402,CollgCr,1Story,VinylSd,198900
7,1222,2.0,615.0,1222.0,1222,2010,2,2010,6,7360,CollgCr,1Story,VinylSd,187000
7,3222,3.0,594.0,1673.0,1699,1990,3,1990,11,12376,SawyerW,2Story,Plywood,320000
6,1445,2.0,484.0,676.0,831,1900,2,1993,6,14235,SawyerW,1.5Fin,Wd Sdng,138500
6,1052,2.0,440.0,1010.0,1052,1971,1,1971,6,8816,ClearCr,SLvl,HdBoard,155000
5,965,2.0,580.0,870.0,965,1996,1,1996,4,11105,CollgCr,SFoyer,VinylSd,159000
7,1692,2.0,513.0,878.0,892,1997,2,1998,8,9337,CollgCr,2Story,VinylSd,191000
6,1682,2.0,523.0,804.0,804,1998,2,1998,7,8750,CollgCr,2Story,VinylSd,200500
5,1026,1.0,308.0,1026.0,1026,1977,1,2004,5,15240,CollgCr,1Story,CemntBd,150000
6,1392,1.0,299.0,689.0,689,1977,1,1977,6,10900,CollgCr,2Story,HdBoard,161750
5,894,1.0,308.0,894.0,894,1976,1,1976,5,10650,CollgCr,1Story,HdBoard,128200
5,876,2.0,484.0,876.0,876,1972,1,1972,5,7480,CollgCr,1Story,Wd Sdng,127000
8,1978,3.0,850.0,1978.0,1978,2003,2,2003,8,10389,CollgCr,1Story,CemntBd,318000
